,h3_05,worldpop2023_sum,adj_at_least_one,adj_exposed_airpol15_pop,adj_exposed_heat32_pop,adj_exposed_drought20_pop,adj_exposed_flood5_pop
0,8552086bfffffff,264.25695654000003,0.0,298.0,0.0,0.0,0.0
1,8552086ffffffff,85.71356126,0.0,94.0,0.0,0.0,0.0
2,85520927fffffff,18.235771222,0.0,23.0,0.0,0.0,0.0
3,8552092ffffffff,5.379156621,0.0,8.0,0.0,0.0,0.0
4,8552094bfffffff,84.26184741,0.0,98.0,0.0,0.0,0.0
5,8552094ffffffff,131.50908971,0.0,147.0,0.0,0.0,0.0
6,8552096bfffffff,11.59598527,0.0,14.0,0.0,0.0,0.0
7,85520a03fffffff,547.6501544,0.0,605.0,0.0,0.0,0.0
8,85520a07fffffff,439.7592502,0.0,479.0,0.0,0.0,0.0
9,85520a0bfffffff,909.2398071,0.0,1020.0,0.0,0.0,0.0
10,85520a0ffffffff,927.9200781,0.0,1020.0,0.0,0.0,0.0
11,85520a13fffffff,710.3213996000001,0.0,790.0,0.0,0.0,0.0
12,85520a17fffffff,368.0616444,0.0,405.0,0.0,0.0,0.0
13,85520a1bfffffff,1674.2765648,412.0,1870.0,0.0,0.0,412.0
14,85520a23fffffff,185.87519808,0.0,199.0,0.0,0.0,0.0
15,85520a27fffffff,52.34057605,0.0,56.0,0.0,0.0,0.0
16,85520a2bfffffff,300.1558261,0.0,330.0,0.0,0.0,0.0
17,85520a2ffffffff,158.76493192,0.0,175.0,0.0,0.0,0.0
18,85520a33fffffff,229.93426720000002,0.0,246.0,0.0,0.0,0.0
19,85520a37fffffff,275.28273321,0.0,294.0,0.0,0.0,0.0
20,85520a3bfffffff,343.939415,0.0,376.0,0.0,0.0,0.0
21,85520a43fffffff,1661.2582783000003,0.0,1824.0,0.0,0.0,0.0
22,85520a47fffffff,1886.014702,924.0,2018.0,0.0,0.0,924.0
23,85520a4bfffffff,1825.9997047000002,0.0,2014.0,0.0,0.0,0.0
24,85520a4ffffffff,3083.4030657000003,0.0,3217.0,0.0,0.0,0.0
25,85520a53fffffff,2233.378795727,0.0,2489.0,0.0,0.0,0.0
26,85520a57fffffff,1084.773946,0.0,1052.0,0.0,0.0,0.0
27,85520a5bfffffff,3179.727655,1933.0,3438.0,0.0,0.0,1933.0
28,85520a63fffffff,553.9846542,0.0,619.0,0.0,0.0,0.0
29,85520a67fffffff,562.1941704999999,0.0,619.0,0.0,0.0,0.0
30,85520a6bfffffff,1947.7604979,0.0,2072.0,0.0,0.0,0.0
31,85520a6ffffffff,422.1211462,0.0,466.0,0.0,0.0,0.0
32,85520a73fffffff,1084.0566627,0.0,1205.0,0.0,0.0,0.0
33,85520a77fffffff,585.2396996,337.0,644.0,0.0,0.0,337.0
34,85520a7bfffffff,518.1214096,0.0,581.0,0.0,0.0,0.0
35,85520a83fffffff,365.52883155,0.0,430.0,0.0,0.0,0.0
36,85520a87fffffff,477.34136065999996,0.0,516.0,0.0,0.0,0.0
37,85520a8bfffffff,688.7559180000001,0.0,762.0,0.0,0.0,0.0
38,85520a8ffffffff,348.90367649999996,0.0,383.0,0.0,0.0,0.0
39,85520a9bfffffff,381.114140779,0.0,430.0,0.0,0.0,0.0
40,85520aa3fffffff,427.0291969,0.0,474.0,0.0,0.0,0.0
41,85520aa7fffffff,405.60426214,0.0,465.0,0.0,0.0,0.0
42,85520aabfffffff,394.0833431,0.0,411.0,0.0,0.0,0.0
43,85520aaffffffff,238.30429379999998,0.0,264.0,0.0,0.0,0.0
44,85520ab3fffffff,272.02861229999996,0.0,313.0,0.0,0.0,0.0
45,85520ab7fffffff,105.9209531,0.0,113.0,0.0,0.0,0.0
46,85520abbfffffff,357.1694635,0.0,377.0,0.0,0.0,0.0
47,85520ac3fffffff,965.497529998,0.0,1065.0,0.0,0.0,0.0
48,85520ac7fffffff,817.662576,0.0,876.0,0.0,0.0,0.0
49,85520acbfffffff,2918.1292959499997,0.0,3176.0,0.0,0.0,0.0
50,85520acffffffff,3238.0734483,0.0,3467.0,0.0,0.0,0.0
51,85520ad3fffffff,374.0402894,0.0,416.0,0.0,0.0,0.0
52,85520ad7fffffff,1309.5523562980002,0.0,1404.0,0.0,0.0,0.0
53,85520adbfffffff,1072.5781914,0.0,1183.0,0.0,0.0,0.0
54,85520b03fffffff,82.17128043,0.0,86.0,0.0,0.0,0.0
55,85520b07fffffff,115.07895698,0.0,123.0,0.0,0.0,0.0
56,85520b0bfffffff,102.54137223999999,0.0,112.0,0.0,0.0,0.0
57,85520b0ffffffff,67.67945886,0.0,74.0,0.0,0.0,0.0
58,85520b13fffffff,68.29015446,0.0,73.0,0.0,0.0,0.0
59,85520b17fffffff,119.212402,0.0,132.0,0.0,0.0,0.0
60,85520b1bfffffff,95.61636487,0.0,100.0,0.0,0.0,0.0
61,85520b23fffffff,134.20052755,0.0,145.0,0.0,0.0,0.0
62,85520b27fffffff,48.21342692,0.0,54.0,0.0,0.0,0.0
63,85520b2bfffffff,49.978875869999996,0.0,55.0,0.0,0.0,0.0
64,85520b2ffffffff,47.595394330000005,0.0,50.0,0.0,0.0,0.0
65,85520b33fffffff,52.76499467,0.0,58.0,0.0,0.0,0.0
66,85520b37fffffff,144.09575948,0.0,162.0,0.0,0.0,0.0
67,85520b3bfffffff,52.071963170000004,0.0,55.0,0.0,0.0,0.0
68,85520b43fffffff,191.82674258999998,0.0,208.0,0.0,0.0,0.0
69,85520b47fffffff,64.76143301,0.0,72.0,0.0,0.0,0.0
70,85520b4bfffffff,154.86839155,0.0,164.0,0.0,0.0,0.0
71,85520b4ffffffff,182.50573293000002,0.0,195.0,0.0,0.0,0.0
72,85520b53fffffff,243.49202818999998,0.0,275.0,0.0,0.0,0.0
73,85520b57fffffff,256.4937256,0.0,298.0,0.0,0.0,0.0
74,85520b5bfffffff,325.11366609,0.0,337.0,0.0,0.0,0.0
75,85520b63fffffff,70.31917702,0.0,77.0,0.0,0.0,0.0
76,85520b67fffffff,53.073168460000005,0.0,58.0,0.0,0.0,0.0
77,85520b6bfffffff,75.37047466,0.0,82.0,0.0,0.0,0.0
78,85520b6ffffffff,97.58676104,0.0,107.0,0.0,0.0,0.0
79,85520b73fffffff,136.38562994,0.0,150.0,0.0,0.0,0.0
80,85520b77fffffff,56.39483099,0.0,62.0,0.0,0.0,0.0
81,85520b7bfffffff,148.05701609,0.0,167.0,0.0,0.0,0.0
82,85520b83fffffff,109.72616264,0.0,129.0,0.0,0.0,0.0
83,85520b87fffffff,73.7820675,0.0,80.0,0.0,0.0,0.0
84,85520b8bfffffff,59.01809358,0.0,64.0,0.0,0.0,0.0
85,85520b8ffffffff,119.76548713,0.0,132.0,0.0,0.0,0.0
86,85520b93fffffff,,,,,,
87,85520b97fffffff,16.98487021,0.0,25.0,0.0,0.0,0.0
88,85520b9bfffffff,110.73510253,0.0,138.0,0.0,0.0,0.0
89,85520ba3fffffff,137.9254624,0.0,144.0,0.0,0.0,0.0
90,85520ba7fffffff,291.65335927,0.0,311.0,0.0,0.0,0.0
91,85520babfffffff,126.63051516,0.0,140.0,0.0,0.0,0.0
92,85520baffffffff,164.38165297,0.0,176.0,0.0,0.0,0.0
93,85520bb3fffffff,318.05488514,0.0,340.0,0.0,0.0,0.0
94,85520bb7fffffff,134.60155206,0.0,152.0,0.0,0.0,0.0
95,85520bbbfffffff,143.18945451000002,0.0,161.0,0.0,0.0,0.0
96,85520bc3fffffff,151.88355791,0.0,167.0,0.0,0.0,0.0
97,85520bc7fffffff,56.81750416,0.0,60.0,0.0,0.0,0.0
98,85520bcbfffffff,94.39958899999999,0.0,108.0,0.0,0.0,0.0
99,85520bcffffffff,43.10449359,0.0,47.0,0.0,0.0,0.0
100,85520bd3fffffff,59.58188769,0.0,65.0,0.0,0.0,0.0
101,85520bd7fffffff,68.09152268,0.0,72.0,0.0,0.0,0.0
102,85520bdbfffffff,139.01781979,0.0,159.0,0.0,0.0,0.0
103,85520e67fffffff,23.88089494,0.0,31.0,0.0,0.0,0.0
104,85520e6bfffffff,244.72516796,0.0,281.0,0.0,0.0,0.0
105,85520e6ffffffff,378.19096399,0.0,400.0,0.0,0.0,0.0
106,85521803fffffff,36165.312032102,10706.0,39898.0,0.0,0.0,10706.0
107,85521807fffffff,87140.4122487,0.0,97294.0,0.0,0.0,0.0
108,8552180bfffffff,237787.27446996002,55893.0,259060.0,0.0,0.0,55893.0
109,8552180ffffffff,43386.1563313,4641.0,47140.0,0.0,0.0,4641.0
110,85521813fffffff,25788.252698900003,17960.0,29108.0,0.0,0.0,17960.0
111,85521817fffffff,13730.228810637,0.0,14442.0,0.0,0.0,0.0
112,8552181bfffffff,89020.4156053,41122.0,99740.0,16124.0,0.0,24998.0
113,85521823fffffff,21497.025953,0.0,23345.0,0.0,0.0,0.0
114,85521827fffffff,21687.6087167,0.0,23906.0,0.0,0.0,0.0
115,8552182bfffffff,64813.113788329996,0.0,68319.0,0.0,0.0,0.0
116,8552182ffffffff,76976.03128161,7896.0,84631.0,0.0,7896.0,0.0
117,85521833fffffff,27767.7732188,0.0,30382.0,0.0,0.0,0.0
118,85521837fffffff,13054.2754122,0.0,13862.0,0.0,0.0,0.0
119,8552183bfffffff,65817.57473118,63626.0,72311.0,0.0,0.0,63626.0
120,85521843fffffff,148638.772673,156699.0,156699.0,156699.0,156699.0,0.0
121,85521847fffffff,188816.233125521,50180.0,206358.0,50180.0,0.0,0.0
122,8552184bfffffff,87305.00125100001,98231.0,98231.0,98231.0,98231.0,0.0
123,8552184ffffffff,112611.140606,126598.0,126598.0,126598.0,35534.0,0.0
124,85521853fffffff,37846.3897685,43077.0,43077.0,43077.0,42081.0,0.0
125,85521857fffffff,113810.396597,94762.0,126097.0,94762.0,14544.0,0.0
126,8552185bfffffff,89060.84182999999,99015.0,99015.0,99015.0,99015.0,0.0
127,85521863fffffff,90572.938032,68473.0,98951.0,0.0,0.0,68473.0
128,85521867fffffff,54857.5377128,0.0,58430.0,0.0,0.0,0.0
129,8552186bfffffff,119908.2746896,20943.0,129932.0,12412.0,0.0,20943.0
130,8552186ffffffff,170775.209255357,0.0,186617.0,0.0,0.0,0.0
131,85521873fffffff,197580.5384941,38237.0,218183.0,0.0,0.0,38237.0
132,85521877fffffff,70860.571629,68163.0,80815.0,0.0,0.0,68163.0
133,8552187bfffffff,138706.81345390002,22538.0,148319.0,7043.0,0.0,15495.0
134,85521883fffffff,12228.554089353,0.0,13451.0,0.0,0.0,0.0
135,85521887fffffff,6744.339717299999,0.0,7165.0,0.0,0.0,0.0
136,8552188bfffffff,13993.16801649,0.0,15129.0,0.0,0.0,0.0
137,8552188ffffffff,8225.763701501,5418.0,8769.0,0.0,0.0,5418.0
138,85521893fffffff,32829.213789,0.0,36349.0,0.0,0.0,0.0
139,85521897fffffff,50397.810673,0.0,56293.0,0.0,0.0,0.0
140,8552189bfffffff,29447.68502,0.0,31753.0,0.0,0.0,0.0
141,855218a3fffffff,4940.104793,0.0,5525.0,0.0,0.0,0.0
