h3_05,pop_total,pop_density_per_km2,total_idps_district,num_idp_hh_displaced_to_dtm_12m,exposure_drought_pct,exposure_extreme_heat_pct,exposure_flooding_pct,conflict_incidents,conflict_fatalities,num_idp_hh_displaced_from_dtm_12m,ipc3_pct,pct_wasted,pct_stunted_mod_sev,prim_school_walk_30m_plus_pct,sec_school_walk_30m_plus_pct,num_schools_per_1000_children,bemonc_walk_60m_plus_pct,num_health_facilities_per_10000
8552086bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
8552086ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520927fffffff,4937.0,0.217994395,0.0,0.0,0.0,0.025926676,0.027344541,3.0,4.0,0.0,0.3,0.165,0.234,2.1,0.0,0.74,1.0,8.76
8552092ffffffff,4937.0,0.217994395,0.0,0.0,0.0,0.025926676,0.027344541,3.0,4.0,0.0,0.3,0.165,0.234,2.1,0.0,0.74,1.0,8.76
8552094bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
8552094ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
8552096bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a03fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a07fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a0bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a0ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a13fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a17fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a1bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a23fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a27fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a2bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a2ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a33fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a37fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a3bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a43fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a47fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a4bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a4ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a53fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a57fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a5bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a63fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a67fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a6bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a6ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a73fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a77fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a7bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a83fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a87fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a8bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a8ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520a9bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520aa3fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520aa7fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520aabfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520aaffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520ab3fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520ab7fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520abbfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520ac3fffffff,110011.00078223624,4.257910885763213,16471.140422459866,0.0,0.0,0.0,0.03846952900900802,89.54047840858846,20.948284213206787,26.948284213206787,0.344870710533017,0.5665044711042305,0.4755362494873546,0.6205087000254644,0.7189741421066034,1.1438786840094912,1.0,2.374671336496325
85520ac7fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520acbfffffff,94162.80571055926,39.49964200529956,11013.326004345188,0.0,0.0,0.0,0.04388134364187988,84.27516929631483,13.466468694244295,10.758696677842293,0.44673532273194616,0.5772099328094997,0.47837250167939993,0.27748103423691983,0.47811390405432913,1.3232125364432825,1.0,2.698129723695323
85520acffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520ad3fffffff,89683.90521017757,6.351368968990964,10624.352894963155,0.0,0.0,0.0,0.03505654531402957,119.16624064337077,14.577152549812745,20.577152549812745,0.32894288137453187,0.44386018658389537,0.443043478004045,0.5599829492232211,0.7157885762749063,1.6217135587640445,1.0,3.1965473210741564
85520ad7fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520adbfffffff,54241.03093605785,12.00059264888097,376.24671769100166,0.0,0.0,0.0,0.02958572347706714,169.13554303091624,3.3187181005429918,8.80080118716063,0.3079679525135748,0.2363383085886315,0.3880636557819232,0.4368528783526016,0.696056083101244,2.443387477795588,1.0,4.610718872489931
85520b03fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b07fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b0bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b0ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b13fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b17fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b1bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b23fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b27fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b2bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b2ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b33fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b37fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b3bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b43fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b47fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b4bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b4ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b53fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b57fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b5bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b63fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b67fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b6bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b6ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b73fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b77fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b7bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b83fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b87fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b8bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b8ffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b93fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b97fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520b9bfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520ba3fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520ba7fffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520babfffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
85520baffffffff,116557.0,3.583747923,18354.0,0.0,0.0,0.0,0.039568623,80.0,23.0,29.0,0.35,0.606,0.486,0.64,0.72,0.99,1.0,2.11
